support,weight,old_expected_count,systematic_expected_count
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,2.2458904884000009e-13,1.2371270520000007e-11
1,9,5.7287498227840038e-12,2.8266300714400002e-10
1,10,7.6203005452736049e-11,3.361109033268001e-09
1,11,6.9664106463385644e-10,2.7374036914308015e-08
1,12,4.8838934251260504e-09,1.7044992307694403e-07
1,13,2.7887655768659855e-08,8.6309388533821622e-07
1,14,1.3484259582690697e-07,3.7000935206920722e-06
1,15,5.6739185202280292e-07,1.3814705496004354e-05
1,16,2.1202378023347675e-06,4.5865729343258851e-05
1,17,7.1464827646449485e-06,0.00013757216026302773
1,18,2.1995192067786204e-05,0.00037741434899137282
1,19,6.2425187181757981e-05,0.00095629048289038246
1,20,0.00016468877339859069,0.0022555185763947394
1,21,0.00040653811945999172,0.0049836083657542416
1,22,0.00094416414723373448,0.010368937525595022
1,23,0.0020724742079005561,0.020401813493135218
1,24,0.0043161490157923778,0.038095863456336795
1,25,0.0085561953387926683,0.067706872563180906
1,26,0.016189708121073065,0.11481242717405216
1,27,0.029308219142647994,0.18613328627065076
1,28,0.050862634771985972,0.28897537455891414
1,29,0.084762693895654856,0.43022136417637136
1,30,0.1358417138920259,0.61488205976115939
1,31,0.2096100747992912,0.84436972407734145
1,32,0.31173364238812401,1.1147808388790748
1,33,0.44721023995786241,1.4156306322978651
1,34,0.61928409912683446,1.7294758483937134
1,35,0.82822086973224063,2.0328335618324544
1,36,1.0701561093778658,2.2985019888047451
1,37,1.33628922499724,2.4991485654146297
1,38,1.6127116981397269,2.6115508248231936
1,39,1.881089402313048,2.6207330428344435
1,40,2.1202875995211659,2.5229714444778573
1,41,2.3088167406455913,2.3269876516955703
1,42,2.4277739307236104,2.0528134493844608
1,43,2.4637636291566967,1.7286054481010471
1,44,2.4112242913026347,1.3859408708385783
1,45,2.2736267591316026,1.0547893810399858
1,46,2.0632367866943091,0.75912342767838414
1,47,1.7994055471630128,0.51422049510595536
1,48,1.5057108280480733,0.3259197859535185
1,49,1.2064996875091509,0.19184471253721913
1,50,0.92354557180823282,0.10385631921292214
1,51,0.67344321558499198,0.051047280146993688
1,52,0.46619622465541344,0.022380718052324406
1,53,0.30510870232669685,0.0085388237154951779
1,54,0.18782152857228646,0.0027323626322094878
1,55,0.1080667346984172,0.000692533378306675
1,56,0.057655170995183025,0.00012490366907125678
1,57,0.028232167004631048,1.2517006603470585e-05
1,58,0.012519965862443553,0
1,59,0.0049383627393481356,0
1,60,0.0016897956909133194,0
1,61,0.00048352671816347613,0
1,62,0.00010922583518736698,0
1,63,1.7502512348663362e-05,0
1,64,1.5419570949159613e-06,0
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,3.7310876971436835e-10,0
2,9,8.3141865443396593e-09,9.690954106655994e-09
2,10,9.5462775129239073e-08,1.9216355815585632e-07
2,11,7.4871247604156377e-07,1.9623767708131159e-06
2,12,4.4966466059558477e-06,1.3670934799454896e-05
2,13,2.1986158565178036e-05,7.2835039142851981e-05
2,14,9.0910281840115125e-05,0.00031560391320494192
2,15,0.00032629361884578052,0.0011559737058181683
2,16,0.0010362046457885266,0.0036753858140729265
2,17,0.002954868506248549,0.010343658695851759
2,18,0.0076573883915074656,0.026166469392837698
2,19,0.018211976312734152,0.060228006358414111
2,20,0.040093069398534333,0.12748596764676559
2,21,0.082280567768308471,0.25018778895272453
