rows,outputs,rows_subcube,outputs_subcube,matched_block_stride
0:1,0:2:4:6,1,1,1
0:1,1:3:5:7,1,1,1
2:3,0:2:4:6,1,1,1
2:3,1:3:5:7,1,1,1
4:5,0:2:4:6,1,1,1
4:5,1:3:5:7,1,1,1
6:7,0:2:4:6,1,1,1
6:7,1:3:5:7,1,1,1
