index,columns
159,0:1:4:5:6:7:27:41:55
160,0:1:4:5:6:7:28:42:56
161,0:1:4:5:6:7:29:43:57
162,0:1:4:5:6:7:30:44:58
163,0:1:4:5:6:7:31:45:59
164,0:1:4:5:6:7:32:46:60
165,0:1:4:5:6:7:33:47:61
166,0:1:4:5:6:7:34:48:62
167,0:1:4:5:6:7:35:49:63
168,2:3:4:5:6:7:8:22:36
169,2:3:4:5:6:7:8:22:50
170,2:3:4:5:6:7:8:36:50
171,2:3:4:5:6:7:9:23:37
172,2:3:4:5:6:7:9:23:51
173,2:3:4:5:6:7:9:37:51
174,2:3:4:5:6:7:10:24:38
175,2:3:4:5:6:7:10:24:52
176,2:3:4:5:6:7:10:38:52
177,2:3:4:5:6:7:11:25:39
178,2:3:4:5:6:7:11:25:53
179,2:3:4:5:6:7:11:39:53
180,2:3:4:5:6:7:12:26:40
181,2:3:4:5:6:7:12:26:54
182,2:3:4:5:6:7:12:40:54
183,2:3:4:5:6:7:13:27:41
184,2:3:4:5:6:7:13:27:55
185,2:3:4:5:6:7:13:41:55
186,2:3:4:5:6:7:14:28:42
187,2:3:4:5:6:7:14:28:56
188,2:3:4:5:6:7:14:42:56
189,2:3:4:5:6:7:15:29:43
190,2:3:4:5:6:7:15:29:57
191,2:3:4:5:6:7:15:43:57
192,2:3:4:5:6:7:16:30:44
193,2:3:4:5:6:7:16:30:58
194,2:3:4:5:6:7:16:44:58
195,2:3:4:5:6:7:17:31:45
196,2:3:4:5:6:7:17:31:59
197,2:3:4:5:6:7:17:45:59
198,2:3:4:5:6:7:18:32:46
199,2:3:4:5:6:7:18:32:60
200,2:3:4:5:6:7:18:46:60
201,2:3:4:5:6:7:19:33:47
202,2:3:4:5:6:7:19:33:61
203,2:3:4:5:6:7:19:47:61
204,2:3:4:5:6:7:20:34:48
205,2:3:4:5:6:7:20:34:62
206,2:3:4:5:6:7:20:48:62
207,2:3:4:5:6:7:21:35:49
208,2:3:4:5:6:7:21:35:63
209,2:3:4:5:6:7:21:49:63
210,2:3:4:5:6:7:22:36:50
211,2:3:4:5:6:7:23:37:51
212,2:3:4:5:6:7:24:38:52
213,2:3:4:5:6:7:25:39:53
214,2:3:4:5:6:7:26:40:54
215,2:3:4:5:6:7:27:41:55
216,2:3:4:5:6:7:28:42:56
217,2:3:4:5:6:7:29:43:57
218,2:3:4:5:6:7:30:44:58
219,2:3:4:5:6:7:31:45:59
220,2:3:4:5:6:7:32:46:60
221,2:3:4:5:6:7:33:47:61
222,2:3:4:5:6:7:34:48:62
223,2:3:4:5:6:7:35:49:63
