depth,k,live_rows,extra_outputs,near_output_support,near_count_log2,needed_other_copy_zeros,conditioned_tail_log2,union_log2
11,2048,32,78,142,483.82083877,79,-9631.11862545,-9147.29778668
11,2048,32,79,143,488.41339043,80,-9754.49730615,-9266.08391572
11,2048,32,80,144,492.98703762,81,-9877.89464165,-9384.90760403
11,2048,32,81,145,497.54200538,82,-10001.31041241,-9503.76840703
11,2048,32,82,146,502.07851322,83,-10124.74440423,-9622.66589102
11,2048,32,83,147,506.59677532,84,-10248.19640806,-9741.59963274
11,2048,32,84,148,511.09700071,85,-10371.66621978,-9860.56921907
11,2048,32,85,149,515.57939348,86,-10495.15364008,-9979.57424660
11,2048,32,86,150,520.04415291,87,-10618.65847425,-10098.61432133
11,2048,32,87,151,524.49147370,88,-10742.18053205,-10217.68905835
11,2048,32,88,152,528.92154604,89,-10865.71962754,-10336.79808150
11,2048,32,89,153,533.33455586,90,-10989.27557895,-10455.94102309
11,2048,32,90,154,537.73068489,91,-11112.84820854,-10575.11752365
11,2048,32,91,155,542.11011087,92,-11236.43734246,-10694.32723159
11,2048,32,92,156,546.47300761,93,-11360.04281061,-10813.56980300
11,2048,32,93,157,550.81954517,94,-11483.66444657,-10932.84490140
11,2048,32,94,158,555.14988997,95,-11607.30208743,-11052.15219746
11,2048,32,95,159,559.46420488,96,-11730.95557370,-11171.49136882
11,2048,32,96,160,563.76264936,97,-11854.62474920,-11290.86209984
11,2048,32,97,161,568.04537957,98,-11978.30946098,-11410.26408141
11,2048,32,98,162,572.31254844,99,-12102.00955919,-11529.69701076
11,2048,32,99,163,576.56430578,100,-12225.72489701,-11649.16059123
11,2048,32,100,164,580.80079839,101,-12349.45533053,-11768.65453214
11,2048,32,101,165,585.02217016,102,-12473.20071870,-11888.17854854
11,2048,32,102,166,589.22856210,103,-12596.96092324,-12007.73236113
11,2048,32,103,167,593.42011249,104,-12720.73580851,-12127.31569602
11,2048,32,104,168,597.59695690,105,-12844.52524153,-12246.92828462
11,2048,32,105,169,601.75922833,106,-12968.32909180,-12366.56986346
11,2048,32,106,170,605.90705723,107,-13092.14723130,-12486.24017407
11,2048,32,107,171,610.04057159,108,-13215.97953440,-12605.93896281
11,2048,32,108,172,614.15989702,109,-13339.82587778,-12725.66598076
11,2048,32,109,173,618.26515681,110,-13463.68614041,-12845.42098360
11,2048,32,110,174,622.35647198,111,-13587.56020342,-12965.20373144
11,2048,32,111,175,626.43396135,112,-13711.44795010,-13085.01398875
11,2048,32,112,176,630.49774161,113,-13835.34926583,-13204.85152422
11,2048,32,113,177,634.54792737,114,-13959.26403799,-13324.71611062
11,2048,32,114,178,638.58463120,115,-14083.19215596,-13444.60752477
11,2048,32,115,179,642.60796370,116,-14207.13351104,-13564.52554734
11,2048,32,116,180,646.61803356,117,-14331.08799638,-13684.46996282
11,2048,32,117,181,650.61494758,118,-14455.05550698,-13804.44055940
11,2048,32,118,182,654.59881074,119,-14579.03593961,-13924.43712887
11,2048,32,119,183,658.56972625,120,-14703.02919278,-14044.45946653
11,2048,32,120,184,662.52779557,121,-14827.03516668,-14164.50737111
11,2048,32,121,185,666.47311848,122,-14951.05376316,-14284.58064468
11,2048,32,122,186,670.40579310,123,-15075.08488568,-14404.67909258
11,2048,32,123,187,674.32591595,124,-15199.12843926,-14524.80252331
11,2048,32,124,188,678.23358198,125,-15323.18433046,-14644.95074848
11,2048,32,125,189,682.12888460,126,-15447.25246733,-14765.12358273
11,2048,32,126,190,686.01191573,127,-15571.33275940,-14885.32084367
11,2048,32,127,191,689.88276583,128,-15695.42511760,-15005.54235176
11,2048,32,128,192,693.74152393,129,-15819.52945426,-15125.78793032
