summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,104.00000000,-98.65570921

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114403.97707489,-114403.97600188
11,2048,2,4,128,0,421,0,-51233.87587347,-51233.87215921
11,2048,3,8,128,0,169,0,-20335.96842265,-20335.95743766
11,2048,4,16,128,0,49,0,-5801.23201685,-5801.19161428
11,2048,5,32,128,0,1,0,-100.60768258,-99.66265845
11,2048,6,64,128,0,1,0,-100.60768258,-99.64879329
11,2048,7,128,128,0,49,0,-5801.23201685,-5800.51892029
11,2048,8,256,128,128,297,16,-19944.02347078,-19944.02238833
11,2048,9,512,128,128,549,32,-48934.46122124,-48934.46122124
11,2048,10,1024,128,128,1059,64,-108149.54432702,-108149.54432702
11,2048,11,2048,128,128,2082,128,-228041.06498666,-228041.06498666
