depth,total_expansion,zero_count,s_identity,z_parity,samples,cert_defective,first_defective
4,8,19,0,19,1000,0,
4,8,19,1,18,1000,0,
4,8,19,2,17,1000,0,
4,8,19,3,16,1000,0,
4,8,19,4,15,1000,0,
4,8,19,5,14,1000,0,
4,8,19,6,13,1000,0,
4,8,19,7,12,1000,0,
4,8,19,8,11,1000,0,
4,8,19,9,10,1000,0,
4,8,19,10,9,1000,0,
4,8,19,11,8,1000,0,
4,8,19,12,7,1000,0,
4,8,19,13,6,1000,0,
4,8,19,14,5,1000,0,
4,8,19,15,4,1000,0,
4,8,19,16,3,1000,0,
