support,weight,old_expected_count,systematic_expected_count
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0.080000000000000002
1,26,0.040000000000000001,0.16
1,27,0,0.23999999999999999
1,28,0.040000000000000001,0.20000000000000001
1,29,0.20000000000000001,0.20000000000000001
1,30,0.080000000000000002,0.64000000000000001
1,31,0.16,0.76000000000000001
1,32,0.20000000000000001,1.24
1,33,0.28000000000000003,1.3600000000000001
1,34,0.52000000000000002,1.8799999999999999
1,35,0.71999999999999997,1.52
1,36,0.95999999999999996,2.3199999999999998
1,37,1.6000000000000001,2.4399999999999999
1,38,1.3200000000000001,2.8399999999999999
1,39,1.4399999999999999,1.96
1,40,2.2400000000000002,2.5600000000000001
1,41,1.76,1.96
1,42,2.48,2.0800000000000001
1,43,2.48,1.72
1,44,2.6000000000000001,1.48
1,45,2.48,1.1200000000000001
1,46,2.1200000000000001,1.2
1,47,2.0800000000000001,0.88
1,48,1.28,0.47999999999999998
1,49,1.24,0.23999999999999999
1,50,1,0.28000000000000003
1,51,0.83999999999999997,0.12
1,52,0.88,0.040000000000000001
1,53,0.32000000000000001,0
1,54,0.23999999999999999,0
1,55,0.16,0
1,56,0.16,0
1,57,0.040000000000000001,0
1,58,0.040000000000000001,0
1,59,0,0
1,60,0,0
1,61,0,0
1,62,0,0
1,63,0,0
1,64,0,0
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
2,13,0,0
2,14,0,0
2,15,0,0
2,16,0,0
2,17,0,0
2,18,0,0
2,19,0,0.040000000000000001
2,20,0.080000000000000002,0.12
2,21,0.16,0.16
2,22,0.080000000000000002,0.32000000000000001
2,23,0.44,0.47999999999999998
2,24,0.59999999999999998,1.24
2,25,0.68000000000000005,1.72
2,26,1.3999999999999999,2.8799999999999999
2,27,1.3999999999999999,4.2400000000000002
2,28,2.2799999999999998,4.2400000000000002
2,29,3.7200000000000002,6.9199999999999999
2,30,4.7199999999999998,8.5600000000000005
2,31,6.6399999999999997,10.039999999999999
2,32,7,12.720000000000001
2,33,8.7200000000000006,14
2,34,9.5999999999999996,15.16
2,35,11.039999999999999,15.48
2,36,12.359999999999999,18.120000000000001
2,37,13.640000000000001,17.600000000000001
2,38,14.199999999999999,21
2,39,14.6,20.199999999999999
2,40,16.640000000000001,20.440000000000001
2,41,17.32,23.039999999999999
2,42,19.559999999999999,28.199999999999999
2,43,18.399999999999999,26.920000000000002
2,44,20.48,29.32
2,45,20.68,25.559999999999999
2,46,24.600000000000001,26.280000000000001
2,47,24.280000000000001,23.960000000000001
2,48,25.32,21.079999999999998
2,49,22.800000000000001,16.359999999999999
2,50,24.399999999999999,14.119999999999999
2,51,22.199999999999999,7.7599999999999998
2,52,22.399999999999999,5.2000000000000002
2,53,16.440000000000001,2.5600000000000001
2,54,14.039999999999999,1.3200000000000001
2,55,9.3200000000000003,0.23999999999999999
2,56,7.8399999999999999,0.32000000000000001
2,57,3.5600000000000001,0
2,58,2.7599999999999998,0.080000000000000002
2,59,0.68000000000000005,0
2,60,0.68000000000000005,0
2,61,0.080000000000000002,0
