weight,old_expected_count,systematic_expected_count
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0.0080000000000000002,0
10,0.048000000000000001,0
11,0.17599999999999999,0.032000000000000001
12,0.40000000000000002,0.096000000000000002
13,1.04,0.20799999999999999
14,2.2719999999999998,0.73599999999999999
15,3.6000000000000001,1.8560000000000001
16,5.3840000000000003,3.8479999999999999
17,7.4320000000000004,6.7199999999999998
18,9.8879999999999999,10.192
19,11.023999999999999,12.824
20,13.192,15.896000000000001
21,13.32,16.440000000000001
22,21.512,22.664000000000001
23,29.760000000000002,28.504000000000001
24,50.408000000000001,51.536000000000001
25,70.384,70.512
26,96.879999999999995,100.76000000000001
27,99.408000000000001,101.11199999999999
28,89.775999999999996,88.463999999999999
29,56.031999999999996,53.911999999999999
30,28.559999999999999,25.984000000000002
31,7.4640000000000004,6.5679999999999996
32,6.032,5.1360000000000001
