identity_pairs,identity_quads,parity_half_pairs,parity_quarter_pairs,parity_mod_half_collisions,parity_mod_quarter_collisions,count,first_bad
2,1,1,0,1,1,11648,0:1:2:3:4:8:9:36
2,0,1,2,1,2,448,0:1:2:4:5:8:22:36
2,0,1,1,1,2,448,0:1:2:4:5:8:22:50
2,1,1,2,1,2,224,0:1:2:3:4:8:22:36
2,1,1,1,1,2,224,0:1:2:3:4:8:22:50
2,1,0,0,0,0,16,0:1:2:3:5:29:31:33
1,0,0,0,0,0,9,0:1:2:4:7:13:15:32
2,0,0,0,0,0,7,0:1:2:4:5:12:19:53
1,0,0,1,0,1,2,0:2:3:4:7:16:20:30
1,0,0,0,0,1,1,1:3:4:6:7:9:45:51
