identity_pairs,identity_quads,parity_half_pairs,parity_quarter_pairs,parity_mod_half_collisions,parity_mod_quarter_collisions,total_count,bad_count,bad_fraction,first_bad
1,0,0,0,0,0,745472,9,1.2072888049450549e-05,0:1:2:4:7:13:15:32
2,0,0,0,0,0,372736,7,1.8780048076923078e-05,0:1:2:4:5:12:19:53
2,1,0,0,0,0,186368,16,8.585164835164836e-05,0:1:2:3:5:29:31:33
1,0,0,1,0,1,69888,2,2.8617216117216117e-05,0:2:3:4:7:16:20:30
1,0,1,0,1,1,46592,0,0.0,
2,0,0,1,0,1,34944,0,0.0,
2,0,1,0,1,1,23296,0,0.0,
1,0,0,0,0,1,23296,1,4.292582417582418e-05,1:3:4:6:7:9:45:51
2,1,0,1,0,1,17472,0,0.0,
2,1,1,0,1,1,11648,11648,1.0,0:1:2:3:4:8:9:36
2,0,0,0,0,1,11648,0,0.0,
2,1,0,0,0,1,5824,0,0.0,
1,0,1,2,1,2,896,0,0.0,
1,0,1,1,1,2,896,0,0.0,
2,0,1,2,1,2,448,448,1.0,0:1:2:4:5:8:22:36
2,0,1,1,1,2,448,448,1.0,0:1:2:4:5:8:22:50
2,1,1,2,1,2,224,224,1.0,0:1:2:3:4:8:22:36
2,1,1,1,1,2,224,224,1.0,0:1:2:3:4:8:22:50
