identity_pairs,identity_quads,parity_half_pairs,parity_quarter_pairs,parity_mod_half_collisions,parity_mod_quarter_collisions,total_count,bad_count,bad_fraction,first_bad
2,0,0,0,0,0,372736,0,0.0,
2,1,0,0,0,0,186368,0,0.0,
3,1,0,0,0,0,93184,0,0.0,
2,0,0,1,0,1,34944,0,0.0,
2,0,1,0,1,1,23296,0,0.0,
2,1,0,1,0,1,17472,0,0.0,
2,1,1,0,1,1,11648,0,0.0,
2,0,0,0,0,1,11648,0,0.0,
3,1,0,1,0,1,8736,0,0.0,
3,1,1,0,1,1,5824,0,0.0,
2,1,0,0,0,1,5824,0,0.0,
3,1,0,0,0,1,2912,0,0.0,
2,0,1,2,1,2,448,0,0.0,
2,0,1,1,1,2,448,0,0.0,
2,1,1,2,1,2,224,0,0.0,
2,1,1,1,1,2,224,0,0.0,
3,1,1,2,1,2,112,112,1.0,0:1:2:3:4:5:8:22:36
3,1,1,1,1,2,112,112,1.0,0:1:2:3:4:5:8:22:50
