ensemble,cutoff,parent_support,equal_nonzero,single_root,double_root,expected_pair_count,tail_probability,expected_low_tail_contribution,min_total_weight,max_total_weight
systematic,20,2,0,0,18,2.64,3.814697265625e-06,1.007080078125e-05,20,38
systematic,20,4,0,3,12,0.08,8.392333984375e-05,6.7138671875e-06,19,34
systematic,20,2,0,16,0,9.52,2.628657966852188e-07,2.502482384443283e-06,18,34
systematic,20,4,2,3,9,0.08,3.0517578125e-05,2.44140625e-06,20,32
systematic,20,1,0,16,0,0.56,3.7832651287317276e-06,2.1186284720897676e-06,17,33
systematic,20,6,0,4,10,0.4,3.814697265625e-06,1.52587890625e-06,20,34
systematic,20,6,0,2,12,0.08,1.52587890625e-05,1.220703125e-06,20,34
systematic,20,4,0,2,14,0.24,3.814697265625e-06,9.1552734375e-07,20,36
systematic,20,6,0,3,11,0.08,7.62939453125e-06,6.103515625e-07,20,34
systematic,20,4,0,15,0,13.76,4.284083843231201e-08,5.894899368286133e-07,19,34
systematic,20,6,0,5,9,0.24,1.9073486328125e-06,4.57763671875e-07,20,34
systematic,20,6,0,6,8,0.4,9.5367431640625e-07,3.814697265625e-07,20,34
systematic,20,4,0,4,12,0.32,9.5367431640625e-07,3.0517578125e-07,20,36
systematic,20,4,0,5,11,0.32,4.76837158203125e-07,1.52587890625e-07,20,36
systematic,20,4,0,3,13,0.08,1.9073486328125e-06,1.52587890625e-07,20,36
systematic,20,4,0,6,10,0.4,2.384185791015625e-07,9.5367431640625e-08,20,36
systematic,20,1,0,17,0,1.28,7.427297532558441e-08,9.506940841674805e-08,18,35
systematic,20,6,0,7,7,0.16,4.76837158203125e-07,7.62939453125e-08,20,34
systematic,20,2,0,3,15,0.08,4.76837158203125e-07,3.814697265625e-08,20,38
systematic,20,2,0,17,0,12.08,3.026798367500305e-09,3.6563724279403685e-08,19,36
systematic,20,4,0,7,9,0.08,1.1920928955078125e-07,9.5367431640625e-09,20,36
systematic,20,6,0,9,5,0.08,1.1920928955078125e-07,9.5367431640625e-09,20,34
systematic,20,2,0,5,13,0.08,1.1920928955078125e-07,9.5367431640625e-09,20,38
systematic,20,4,0,16,0,11.2,2.3283064365386963e-10,2.6077032089233397e-09,20,36
systematic,20,1,0,18,0,1.76,8.003553375601768e-10,1.4086253941059112e-09,19,37
systematic,20,3,0,16,0,0.08,1.1408701539039612e-08,9.126961231231689e-10,19,35
systematic,20,2,0,18,0,14.96,1.4551915228366852e-11,2.1769665181636812e-10,20,38
systematic,20,3,0,17,0,0.48,5.820766091346741e-11,2.7939677238464354e-11,20,37
systematic,20,1,0,19,0,3.12,3.637978807091713e-12,1.1350493878126145e-11,20,39
