identity_pairs,identity_quads,parity_half_pairs,parity_quarter_pairs,parity_mod_half_collisions,parity_mod_quarter_collisions,count,first_bad
3,1,1,2,1,2,112,0:1:2:3:4:5:8:22:36
3,1,1,1,1,2,112,0:1:2:3:4:5:8:22:50
