index,columns
0,0:1:2:3:4:8:9:36
1,0:1:2:3:4:8:9:37
2,0:1:2:3:4:8:10:36
3,0:1:2:3:4:8:10:38
4,0:1:2:3:4:8:11:36
5,0:1:2:3:4:8:11:39
6,0:1:2:3:4:8:12:36
7,0:1:2:3:4:8:12:40
8,0:1:2:3:4:8:13:36
9,0:1:2:3:4:8:13:41
10,0:1:2:3:4:8:14:36
11,0:1:2:3:4:8:14:42
12,0:1:2:3:4:8:15:36
13,0:1:2:3:4:8:15:43
14,0:1:2:3:4:8:16:36
15,0:1:2:3:4:8:16:44
16,0:1:2:3:4:8:17:36
17,0:1:2:3:4:8:17:45
18,0:1:2:3:4:8:18:36
19,0:1:2:3:4:8:18:46
20,0:1:2:3:4:8:19:36
21,0:1:2:3:4:8:19:47
22,0:1:2:3:4:8:20:36
23,0:1:2:3:4:8:20:48
24,0:1:2:3:4:8:21:36
25,0:1:2:3:4:8:21:49
26,0:1:2:3:4:8:22:36
27,0:1:2:3:4:8:22:50
28,0:1:2:3:4:8:23:36
29,0:1:2:3:4:8:23:51
30,0:1:2:3:4:8:24:36
31,0:1:2:3:4:8:24:52
32,0:1:2:3:4:8:25:36
33,0:1:2:3:4:8:25:53
34,0:1:2:3:4:8:26:36
35,0:1:2:3:4:8:26:54
36,0:1:2:3:4:8:27:36
37,0:1:2:3:4:8:27:55
38,0:1:2:3:4:8:28:36
39,0:1:2:3:4:8:28:56
40,0:1:2:3:4:8:29:36
41,0:1:2:3:4:8:29:57
42,0:1:2:3:4:8:30:36
43,0:1:2:3:4:8:30:58
44,0:1:2:3:4:8:31:36
45,0:1:2:3:4:8:31:59
46,0:1:2:3:4:8:32:36
47,0:1:2:3:4:8:32:60
48,0:1:2:3:4:8:33:36
49,0:1:2:3:4:8:33:61
50,0:1:2:3:4:8:34:36
51,0:1:2:3:4:8:34:62
52,0:1:2:3:4:8:35:36
53,0:1:2:3:4:8:35:63
54,0:1:2:3:4:8:36:37
55,0:1:2:3:4:8:36:38
56,0:1:2:3:4:8:36:39
57,0:1:2:3:4:8:36:40
58,0:1:2:3:4:8:36:41
59,0:1:2:3:4:8:36:42
60,0:1:2:3:4:8:36:43
61,0:1:2:3:4:8:36:44
62,0:1:2:3:4:8:36:45
63,0:1:2:3:4:8:36:46
64,0:1:2:3:4:8:36:47
65,0:1:2:3:4:8:36:48
66,0:1:2:3:4:8:36:49
67,0:1:2:3:4:8:36:50
68,0:1:2:3:4:8:36:51
69,0:1:2:3:4:8:36:52
70,0:1:2:3:4:8:36:53
71,0:1:2:3:4:8:36:54
72,0:1:2:3:4:8:36:55
73,0:1:2:3:4:8:36:56
74,0:1:2:3:4:8:36:57
75,0:1:2:3:4:8:36:58
76,0:1:2:3:4:8:36:59
77,0:1:2:3:4:8:36:60
78,0:1:2:3:4:8:36:61
79,0:1:2:3:4:8:36:62
80,0:1:2:3:4:8:36:63
81,0:1:2:3:4:9:10:37
82,0:1:2:3:4:9:10:38
83,0:1:2:3:4:9:11:37
84,0:1:2:3:4:9:11:39
85,0:1:2:3:4:9:12:37
86,0:1:2:3:4:9:12:40
87,0:1:2:3:4:9:13:37
88,0:1:2:3:4:9:13:41
89,0:1:2:3:4:9:14:37
90,0:1:2:3:4:9:14:42
91,0:1:2:3:4:9:15:37
92,0:1:2:3:4:9:15:43
93,0:1:2:3:4:9:16:37
94,0:1:2:3:4:9:16:44
95,0:1:2:3:4:9:17:37
96,0:1:2:3:4:9:17:45
97,0:1:2:3:4:9:18:37
98,0:1:2:3:4:9:18:46
99,0:1:2:3:4:9:19:37
100,0:1:2:3:4:9:19:47
101,0:1:2:3:4:9:20:37
102,0:1:2:3:4:9:20:48
103,0:1:2:3:4:9:21:37
104,0:1:2:3:4:9:21:49
105,0:1:2:3:4:9:22:37
106,0:1:2:3:4:9:22:50
107,0:1:2:3:4:9:23:37
108,0:1:2:3:4:9:23:51
109,0:1:2:3:4:9:24:37
110,0:1:2:3:4:9:24:52
111,0:1:2:3:4:9:25:37
112,0:1:2:3:4:9:25:53
113,0:1:2:3:4:9:26:37
114,0:1:2:3:4:9:26:54
115,0:1:2:3:4:9:27:37
116,0:1:2:3:4:9:27:55
117,0:1:2:3:4:9:28:37
118,0:1:2:3:4:9:28:56
119,0:1:2:3:4:9:29:37
120,0:1:2:3:4:9:29:57
121,0:1:2:3:4:9:30:37
122,0:1:2:3:4:9:30:58
123,0:1:2:3:4:9:31:37
124,0:1:2:3:4:9:31:59
125,0:1:2:3:4:9:32:37
126,0:1:2:3:4:9:32:60
127,0:1:2:3:4:9:33:37
128,0:1:2:3:4:9:33:61
129,0:1:2:3:4:9:34:37
130,0:1:2:3:4:9:34:62
131,0:1:2:3:4:9:35:37
132,0:1:2:3:4:9:35:63
133,0:1:2:3:4:9:36:37
134,0:1:2:3:4:9:37:38
135,0:1:2:3:4:9:37:39
136,0:1:2:3:4:9:37:40
137,0:1:2:3:4:9:37:41
138,0:1:2:3:4:9:37:42
139,0:1:2:3:4:9:37:43
140,0:1:2:3:4:9:37:44
141,0:1:2:3:4:9:37:45
142,0:1:2:3:4:9:37:46
143,0:1:2:3:4:9:37:47
144,0:1:2:3:4:9:37:48
145,0:1:2:3:4:9:37:49
146,0:1:2:3:4:9:37:50
147,0:1:2:3:4:9:37:51
148,0:1:2:3:4:9:37:52
149,0:1:2:3:4:9:37:53
150,0:1:2:3:4:9:37:54
151,0:1:2:3:4:9:37:55
152,0:1:2:3:4:9:37:56
153,0:1:2:3:4:9:37:57
154,0:1:2:3:4:9:37:58
155,0:1:2:3:4:9:37:59
156,0:1:2:3:4:9:37:60
157,0:1:2:3:4:9:37:61
158,0:1:2:3:4:9:37:62
159,0:1:2:3:4:9:37:63
160,0:1:2:3:4:10:11:38
161,0:1:2:3:4:10:11:39
162,0:1:2:3:4:10:12:38
163,0:1:2:3:4:10:12:40
164,0:1:2:3:4:10:13:38
165,0:1:2:3:4:10:13:41
166,0:1:2:3:4:10:14:38
167,0:1:2:3:4:10:14:42
168,0:1:2:3:4:10:15:38
169,0:1:2:3:4:10:15:43
170,0:1:2:3:4:10:16:38
171,0:1:2:3:4:10:16:44
172,0:1:2:3:4:10:17:38
173,0:1:2:3:4:10:17:45
174,0:1:2:3:4:10:18:38
175,0:1:2:3:4:10:18:46
176,0:1:2:3:4:10:19:38
177,0:1:2:3:4:10:19:47
178,0:1:2:3:4:10:20:38
179,0:1:2:3:4:10:20:48
180,0:1:2:3:4:10:21:38
181,0:1:2:3:4:10:21:49
182,0:1:2:3:4:10:22:38
183,0:1:2:3:4:10:22:50
184,0:1:2:3:4:10:23:38
185,0:1:2:3:4:10:23:51
186,0:1:2:3:4:10:24:38
187,0:1:2:3:4:10:24:52
188,0:1:2:3:4:10:25:38
189,0:1:2:3:4:10:25:53
190,0:1:2:3:4:10:26:38
191,0:1:2:3:4:10:26:54
192,0:1:2:3:4:10:27:38
193,0:1:2:3:4:10:27:55
194,0:1:2:3:4:10:28:38
195,0:1:2:3:4:10:28:56
196,0:1:2:3:4:10:29:38
