depth,total_expansion,zero_count,s_identity,z_parity,samples,cert_defective,first_defective
3,8,11,0,11,20000,0,
3,8,11,1,10,20000,0,
3,8,11,2,9,20000,0,
3,8,11,3,8,20000,0,
3,8,11,4,7,20000,0,
3,8,11,5,6,20000,0,
3,8,11,6,5,20000,0,
3,8,11,7,4,20000,0,
3,8,11,8,3,20000,0,
