rows,outputs,kernel_support,first_output_weight,second_output_weight,second_full
0:1:2:3,0:4:8:12,4,4,16,1
0:1:2:3,1:5:9:13,4,4,16,1
0:1:2:3,2:6:10:14,4,4,16,1
0:1:2:3,3:7:11:15,4,4,16,1
4:5:6:7,0:4:8:12,4,4,16,1
4:5:6:7,1:5:9:13,4,4,16,1
4:5:6:7,2:6:10:14,4,4,16,1
4:5:6:7,3:7:11:15,4,4,16,1
8:9:10:11,0:4:8:12,4,4,16,1
8:9:10:11,1:5:9:13,4,4,16,1
8:9:10:11,2:6:10:14,4,4,16,1
8:9:10:11,3:7:11:15,4,4,16,1
12:13:14:15,0:4:8:12,4,4,16,1
12:13:14:15,1:5:9:13,4,4,16,1
12:13:14:15,2:6:10:14,4,4,16,1
12:13:14:15,3:7:11:15,4,4,16,1
