rho,components,predicted_codim,shapes,min_codim,avg_codim,max_codim
1,1,1,5,0.9406381187857398,0.9406381187857399,0.9406381187857398
2,1,3,12,2.6182204556157576,2.6182204556157576,2.6182204556157576
2,2,2,39,1.8812762375714795,1.8812762375714795,1.8812762375714795
