subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,generic_kernel_dim,complement_rank,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
13,3:5:11:12,11,3:5:12,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
13,3:5:11:12,13,3:11:12,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
13,3:5:11:12,14,5:11:12,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
13,3:5:11:12,15,3:5:11:12,4,4,2,4,4,4,4,4,0,8,8,8,4,1296,4:1296,1044576,8.611156424455313,891648,8.51280227028115,4.512802270281149
14,2:4:8:9,7,2:4:8,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
14,2:4:8:9,11,2:4:9,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
14,2:4:8:9,13,2:8:9,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
14,2:4:8:9,14,4:8:9,3,2,2,3,2,1,2,1,1,4,4,4,1,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
14,2:4:8:9,15,2:4:8:9,3,2,2,4,3,2,3,2,0,4,4,4,0,1296,2:1260;3:36,2376,4.829744360083113,1692,4.618796713272123,0.6187967132721228
15,5:11:14:15,3,5:11,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,5,5:14,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,6,11:14,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,9,5:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,10,11:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,12,14:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
15,5:11:14:15,7,5:11:14,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
15,5:11:14:15,11,5:11:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
15,5:11:14:15,13,5:14:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
15,5:11:14:15,14,11:14:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
15,5:11:14:15,15,5:11:14:15,4,4,2,4,4,4,4,4,0,8,8,8,4,1296,4:1296,1044576,8.611156424455313,891648,8.51280227028115,4.512802270281149
16,1:4:9:14,7,1:4:9,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
16,1:4:9:14,11,1:4:14,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
16,1:4:9:14,13,1:9:14,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
16,1:4:9:14,14,4:9:14,3,2,2,3,2,1,2,1,1,4,4,4,1,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
16,1:4:9:14,15,1:4:9:14,3,2,2,4,3,2,3,2,0,4,4,4,0,1296,2:1260;3:36,2376,4.829744360083113,1692,4.618796713272123,0.6187967132721228
17,2:3:6:8,3,2:3,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
17,2:3:6:8,5,2:6,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
17,2:3:6:8,6,3:6,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
17,2:3:6:8,9,2:8,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
