subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,contained_count,exact_support_count,exact_logq,asymptotic_root_weight_logq
33,1:5:6,6,5:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
33,1:5:6,7,1:5:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
34,1:5:7,3,1:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
34,1:5:7,5,1:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
34,1:5:7,6,5:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
34,1:5:7,7,1:5:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
35,1:6:7,3,1:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
35,1:6:7,5,1:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
35,1:6:7,6,6:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
35,1:6:7,7,1:6:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
36,2:3:4,3,2:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
36,2:3:4,5,2:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
36,2:3:4,6,3:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
36,2:3:4,7,2:3:4,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
37,2:3:5,3,2:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
37,2:3:5,5,2:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
37,2:3:5,6,3:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
37,2:3:5,7,2:3:5,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
38,2:3:6,3,2:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
38,2:3:6,5,2:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
38,2:3:6,6,3:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
38,2:3:6,7,2:3:6,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
39,2:3:7,3,2:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
39,2:3:7,5,2:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
39,2:3:7,6,3:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
39,2:3:7,7,2:3:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
40,2:4:5,1,2,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
40,2:4:5,6,4:5,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
40,2:4:5,7,2:4:5,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
41,2:4:6,1,2,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
41,2:4:6,6,4:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
41,2:4:6,7,2:4:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
42,2:4:7,3,2:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
42,2:4:7,5,2:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
42,2:4:7,6,4:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
42,2:4:7,7,2:4:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
43,2:5:6,1,2,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
