depth,total_expansion,zero_count,s_identity,z_parity,samples,cert_defective,first_defective
4,8,18,0,18,1000,0,
4,8,18,1,17,1000,0,
4,8,18,2,16,1000,0,
4,8,18,3,15,1000,0,
4,8,18,4,14,1000,0,
4,8,18,5,13,1000,0,
4,8,18,6,12,1000,0,
4,8,18,7,11,1000,0,
4,8,18,8,10,1000,0,
4,8,18,9,9,1000,0,
4,8,18,10,8,1000,0,
4,8,18,11,7,1000,0,
4,8,18,12,6,1000,0,
4,8,18,13,5,1000,0,
4,8,18,14,4,1000,0,
4,8,18,15,3,1000,0,
4,8,18,16,2,1000,0,
