rho,components,tau,root_count,shapes,min_logq_count,avg_logq_count,max_logq_count,min_fraction
2,1,2,3,24,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.007444168734491315
2,2,2,3,30,2.226565505118757,2.226565505118757,2.226565505118757,0.04466501240694789
