rho,components,tau,root_count,support_rank,support_components,support_kernel_dim,complement_rank,shapes,support_gaussian_logq_upper,min_logq_count,avg_logq_count,max_logq_count,min_fraction
1,1,1,3,1,1,1,0,2,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.0
2,1,1,2,2,2,1,1,72,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.038461538461538464
2,1,1,3,2,1,2,0,24,3.137651951799854,3.0614748460257584,3.0614748460257584,3.0614748460257584,0.8846153846153846
2,2,1,1,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.038461538461538464
2,2,1,2,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.038461538461538464
2,2,1,3,2,2,2,0,30,3.137651951799854,3.087918621265543,3.087918621265543,3.087918621265543,0.9230769230769231
