weight,old_expected_count,systematic_expected_count
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0.12,0
15,0.16,0
16,0.68000000000000005,0
17,1,0.040000000000000001
18,2.04,0.16
19,2.9199999999999999,0.28000000000000003
20,4.8799999999999999,0.59999999999999998
21,6.8399999999999999,1.8
22,8.6400000000000006,2.6400000000000001
23,11.84,5.1200000000000001
24,15.52,7.2800000000000002
25,18.120000000000001,11.960000000000001
26,23.800000000000001,17.960000000000001
27,28.920000000000002,23.960000000000001
28,40.880000000000003,32.719999999999999
29,51,40.759999999999998
30,73.599999999999994,53.280000000000001
31,94.640000000000001,62.68
32,133.40000000000001,83.920000000000002
33,179.24000000000001,109.16
34,239.03999999999999,154.16
35,308,202.59999999999999
36,400.19999999999999,296.24000000000001
37,522.36000000000001,413.36000000000001
38,726.20000000000005,592.75999999999999
39,1011.5599999999999,847.67999999999995
40,1509.1600000000001,1290.8399999999999
41,2204.9200000000001,1932.2
42,3266.1199999999999,2983.4000000000001
43,4802.1999999999998,4442.4399999999996
44,6987.7600000000002,6642.5600000000004
45,9795.9200000000001,9659.0400000000009
46,13546.32,13546.799999999999
47,17923.32,18375.119999999999
48,23151.48,24094.560000000001
49,28810.720000000001,30139.040000000001
50,34562.800000000003,36008.760000000002
51,39389.32,40576.639999999999
52,42171.32,43018.199999999997
53,41670,41822.160000000003
54,37651.760000000002,37328.279999999999
55,30505.200000000001,29705.080000000002
56,22064.240000000002,21205.119999999999
57,13819.639999999999,13061.24
58,7533.04,7011.4799999999996
59,3452.8400000000001,3161.1999999999998
60,1354.76,1205.24
61,417.63999999999999,353.95999999999998
62,104.88,81.519999999999996
63,15.68,11.84
64,7.3600000000000003,6.1600000000000001
