rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
3,2,2,3,2,1,2,1,1,-inf,1,1,-2,5,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,1:210;2:6
3,2,2,3,3,3,2,1,1,-inf,3,3,0,15,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
3,2,2,4,3,2,3,0,2,4,4,4,0,5,4.618796713272123,4.618796713272123,4.618796713272123,4.829744360083113,4.829744360083113,0.6187967132721228,0.6187967132721228,2:1260;3:36
4,4,2,2,2,2,2,2,2,2,2,2,0,90,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,0.22656550511875695,0.22656550511875695,2:36
4,4,2,3,3,3,3,1,3,5,5,5,2,60,5.41026332894709,5.41026332894709,5.41026332894709,5.473504472655458,5.473504472655458,2.4102633289470896,2.4102633289470896,3:216
4,4,2,4,4,4,4,0,4,8,8,8,4,15,8.51280227028115,8.51280227028115,8.51280227028115,8.611156424455313,8.611156424455313,4.512802270281149,4.512802270281149,4:1296
