name,child_k,expansion,dims,zeros,b,short_dims,normal_slice_feasible,e_anc_logq,defect_codim_logq,max_defect_charge_logq,optimistic_rho_logq,max_optimistic_rho_logq,strict_hard_rho_logq,strict_hard_steps,strict_hard_potential_logq,max_strict_hard_potential_logq,split_const_logq,charge_logq,margin_logq,normal_slice_safe,defect_routed_margin_logq,defect_routed_safe,rho_routed_margin_logq,rho_routed_safe,strict_hard_margin_logq,strict_hard_safe,boundary_plus_strict_hard_margin_logq,boundary_plus_strict_hard_safe
observed_level4_inner_shape_child_k8_b0,8,8,"4,3,2,1","21,26,31","0,0,0","0,0,0",no,0,"0,0,0",0,"0,0,0",0,"0,0,0","0,0,0","0,0,0",0,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level4_inner_shape_child_k8_b1,8,8,"4,3,2,1","21,26,31","1,1,1","1,1,1",no,0,"14,19,24",24,"4,5,6",6,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level4_inner_shape_child_k8_b2,8,8,"4,3,2,1","21,26,31","2,2,2","2,2,2",no,0,"30,40,50",50,"4,5,7",7,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level4_inner_shape_child_k8_b3,8,8,"4,3,2,1","21,26,31","3,3,3","3,3,3",no,1,"48,63,78",78,"4,6,7",7,"0,0,inf","2,1,inf","18,9,inf",18,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level4_inner_shape_child_k8_b4,8,8,"4,3,2,1","21,26,31","4,4,4","4,4,4",yes,3,"68,88,108",108,"5,6,7",7,"0,0,inf","2,1,inf","18,9,inf",18,0,9,6,yes,114,yes,13,yes,15,yes,24,yes
observed_level4_inner_shape_child_k8_b5,8,8,"4,3,2,1","21,26,31","5,5,5","5,5,5",yes,6,"90,115,140",140,"inf,inf,inf",inf,"0,inf,inf","2,inf,inf","18,inf,inf",18,0,9,3,yes,143,yes,inf,yes,12,yes,21,yes
observed_level4_inner_shape_child_k8_b6,8,8,"4,3,2,1","21,26,31","6,6,6","6,6,6",yes,9,"114,144,174",174,"inf,inf,inf",inf,"0,inf,inf","2,inf,inf","18,inf,inf",18,0,9,0,yes,174,yes,inf,yes,9,yes,18,yes
observed_level4_inner_shape_child_k8_b7,8,8,"4,3,2,1","21,26,31","7,7,7","7,7,7",yes,12,"140,175,210",210,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-3,no,207,yes,inf,yes,inf,yes,inf,yes
observed_level4_inner_shape_child_k8_b8,8,8,"4,3,2,1","21,26,31","8,8,8","8,8,8",yes,15,"168,208,248",248,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-6,no,242,yes,inf,yes,inf,yes,inf,yes
