rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
2,1,2,3,2,1,2,0,1,-inf,1,1,-2,24,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,1:210;2:6
2,2,2,3,2,2,2,0,1,-inf,2,2,-1,30,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
