rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_logq,avg_exact_logq,max_exact_logq,min_contained_logq,avg_contained_logq,max_contained_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq
1,1,2,3,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0
2,1,2,2,2,2,1,1,72,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
2,1,2,3,2,1,2,0,24,4.155708438501582,4.155708438501582,4.155708438501582,4.158025414217798,4.158025414217798,4.158025414217798,1.1557084385015823,1.1557084385015823
2,2,2,1,1,1,1,1,30,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2,2,2,2,1,1,1,1,30,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
2,2,2,3,2,2,2,0,30,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,1.1564817241453405,1.1564817241453405
