rho,components,tau,root_count,shapes,min_logq_count,avg_logq_count,max_logq_count,min_fraction
1,1,1,3,2,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.0
2,1,1,2,24,1.7958889470453636,1.7958889470453636,1.7958889470453636,0.11538461538461539
2,1,1,3,24,3.0614748460257584,3.0614748460257584,3.0614748460257584,0.8846153846153846
2,2,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.038461538461538464
2,2,1,2,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.038461538461538464
2,2,1,3,30,3.087918621265543,3.087918621265543,3.087918621265543,0.9230769230769231
