rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
1,1,1,3,1,1,1,0,2,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,0:210;1:6
2,1,1,2,2,2,1,1,72,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-0.8867172474406215,-0.8867172474406215,0:30;1:6
2,1,1,3,2,1,2,0,24,3.0614748460257584,3.0614748460257584,3.0614748460257584,3.420654809607502,3.420654809607502,0.06147484602575837,0.06147484602575837,1:210;2:6
2,2,1,1,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.11328275255937847,0.11328275255937847,1:6
2,2,1,2,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-0.8867172474406215,-0.8867172474406215,0:30;1:6
2,2,1,3,2,2,2,0,30,3.087918621265543,3.087918621265543,3.087918621265543,3.716461607523735,3.716461607523735,0.08791862126554317,0.08791862126554317,1:180;2:36
