rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_logq,avg_exact_logq,max_exact_logq,min_contained_logq,avg_contained_logq,max_contained_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq
1,1,1,3,1,1,1,0,2,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215
2,1,1,2,2,2,1,1,72,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-0.8867172474406215,-0.8867172474406215
2,1,1,3,2,1,2,0,24,3.0614748460257584,3.0614748460257584,3.0614748460257584,3.137651951799854,3.1376519517998545,3.137651951799854,0.06147484602575837,0.06147484602575837
2,2,1,1,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,0.11328275255937847,0.11328275255937847
2,2,1,2,1,1,1,1,30,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-0.8867172474406215,-0.8867172474406215
2,2,1,3,2,2,2,0,30,3.087918621265543,3.087918621265543,3.087918621265543,3.137651951799854,3.137651951799854,3.137651951799854,0.08791862126554317,0.08791862126554317
