rows,outputs,rows_subcube,outputs_subcube,matched_block_stride
0:1:2:3,0:4:8:12,1,1,1
0:1:2:3,1:5:9:13,1,1,1
0:1:2:3,2:6:10:14,1,1,1
0:1:2:3,3:7:11:15,1,1,1
4:5:6:7,0:4:8:12,1,1,1
4:5:6:7,1:5:9:13,1,1,1
4:5:6:7,2:6:10:14,1,1,1
4:5:6:7,3:7:11:15,1,1,1
8:9:10:11,0:4:8:12,1,1,1
8:9:10:11,1:5:9:13,1,1,1
8:9:10:11,2:6:10:14,1,1,1
8:9:10:11,3:7:11:15,1,1,1
12:13:14:15,0:4:8:12,1,1,1
12:13:14:15,1:5:9:13,1,1,1
12:13:14:15,2:6:10:14,1,1,1
12:13:14:15,3:7:11:15,1,1,1
