"subset_index","columns","support_mask","support_columns","rho","components","tau","root_count","support_rank","support_components","delta","generic_kernel_dim","complement_rank","generic_endpoint_logq","component_endpoint_logq","endpoint_bound_logq","endpoint_root_weight_logq","line_assignments","kernel_profile","contained_root_line_count","contained_root_line_logq","exact_root_line_count","exact_root_line_logq","asymptotic_root_weight_logq","endpoint_excess_logq","projective_line_factor_logq","nonzero_root_normalization_logq","exceptional_kappa3_count","residual_endpoint_excess_logq"
"0","0:6:12:13:14","12","12:13","4","4","2","2","2","2","2","2","2","2","2","2","0","144","2:144","144","2.0725731252542037","144","2.0725731252542037","0.07257312525420367","0.072573125254203674","0.07257312525420367","0.07949486442174503","NA","-0.079494864421745026"
"0","0:6:12:13:14","20","12:14","4","4","2","2","2","2","2","2","2","2","2","2","0","144","2:144","144","2.0725731252542037","144","2.0725731252542037","0.07257312525420367","0.072573125254203674","0.07257312525420367","0.07949486442174503","NA","-0.079494864421745026"
"0","0:6:12:13:14","24","13:14","4","4","2","2","2","2","2","2","2","2","2","2","0","144","2:144","144","2.0725731252542037","144","2.0725731252542037","0.07257312525420367","0.072573125254203674","0.07257312525420367","0.07949486442174503","NA","-0.079494864421745026"
"0","0:6:12:13:14","7","0:6:12","4","4","2","3","2","2","2","1","2","-Infinity","2","2","-1","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","0.072573125254203674","0.10885968788130551","0.11924229663261754","NA","-0.15552885925971938"
"0","0:6:12:13:14","11","0:6:13","4","4","2","3","2","2","2","1","2","-Infinity","2","2","-1","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","0.072573125254203674","0.10885968788130551","0.11924229663261754","NA","-0.15552885925971938"
"0","0:6:12:13:14","19","0:6:14","4","4","2","3","2","2","2","1","2","-Infinity","2","2","-1","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","0.072573125254203674","0.10885968788130551","0.11924229663261754","NA","-0.15552885925971938"
"0","0:6:12:13:14","28","12:13:14","4","4","2","3","3","3","3","3","1","5","5","5","2","1728","3:1728","229824","5.148293679723102","224640","5.138779220094701","2.138779220094701","0.13877922009470112","0.10885968788130551","0.11924229663261754","NA","-0.089322764419221934"
"0","0:6:12:13:14","15","0:6:12:13","4","4","2","4","3","3","3","2","1","4","5","5","1","20736","2:19008;3:1728","248832","5.181432813135509","224640","5.138779220094701","1.1387792200947011","0.13877922009470112","0.14514625050840735","0.15898972884349005","NA","-0.16535675925719628"
"0","0:6:12:13:14","23","0:6:12:14","4","4","2","4","3","3","3","2","1","4","5","5","1","20736","2:19008;3:1728","248832","5.181432813135509","224640","5.138779220094701","1.1387792200947011","0.13877922009470112","0.14514625050840735","0.15898972884349005","NA","-0.16535675925719628"
"0","0:6:12:13:14","27","0:6:13:14","4","4","2","4","3","3","3","2","1","4","5","5","1","20736","2:19008;3:1728","248832","5.181432813135509","224640","5.138779220094701","1.1387792200947011","0.13877922009470112","0.14514625050840735","0.15898972884349005","NA","-0.16535675925719628"
