rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
2,1,2,3,2,1,2,0,1,-inf,1,1,-2,12,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
2,2,2,3,2,2,2,0,1,-inf,2,2,-1,39,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
