rho,components,tau,root_count,support_rank,support_components,support_kernel_dim,complement_rank,shapes,support_gaussian_logq_upper,min_logq_count,avg_logq_count,max_logq_count,min_fraction
2,2,2,4,2,2,2,0,1,4.158025414217798,2.226565505118757,2.226565505118757,2.226565505118757,0.04466501240694789
3,1,2,3,3,3,2,1,4,4.158025414217798,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1801011346672409e-05
3,1,2,4,3,1,3,0,1,8.163772389440494,4.470154950071686,4.470154950071686,4.470154950071686,0.002619824518961275
3,2,2,3,2,1,2,1,6,4.158025414217798,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1801011346672409e-05
3,2,2,3,3,3,2,1,18,4.158025414217798,2.226565505118757,2.226565505118757,2.226565505118757,7.080606808003446e-05
3,2,2,4,3,2,3,0,6,8.163772389440494,4.618796713272123,4.618796713272123,4.618796713272123,0.0033278851997616196
3,3,2,2,2,2,2,1,5,4.158025414217798,2.226565505118757,2.226565505118757,2.226565505118757,7.080606808003446e-05
3,3,2,3,2,2,2,1,10,4.158025414217798,2.226565505118757,2.226565505118757,2.226565505118757,7.080606808003446e-05
3,3,2,4,3,3,3,0,5,8.163772389440494,5.41026332894709,5.41026332894709,5.41026332894709,0.011895419437445789
