round,k,parity_n,support,threshold,distance,relative_distance,worst_log2_slack,worst_support
0,1,7,1,1,8,1.0,0.0,1
1,2,14,1,2,14,0.875,-78.86639106053332,2
2,4,28,2,6,25,0.78125,-66.50262836930754,4
3,8,56,2,12,47,0.734375,-41.99181549997445,7
4,16,112,4,28,89,0.6953125,-24.267794099708652,4
5,32,224,4,57,172,0.671875,-3.367046167106139,1
6,64,448,8,124,333,0.650390625,-9.988507003486575,3
7,128,896,16,268,645,0.6298828125,-1.9664989759938862,12
8,256,1792,16,543,1266,0.6181640625,-0.6248037018281138,42
