rho,components,predicted_codim,shapes,min_codim,avg_codim,max_codim
1,1,1,5,0.9668848016403397,0.9668848016403399,0.9668848016403397
2,1,3,12,2.695707147091742,2.695707147091742,2.695707147091742
2,2,2,39,1.9337696032806795,1.9337696032806797,1.9337696032806795
