round,k,parity_n,support,threshold,distance,relative_distance,worst_log2_slack,worst_support
0,1,7,1,1,8,1.0,0.0,1
1,2,14,1,2,14,0.875,-38.86639106053332,2
2,4,28,2,6,25,0.78125,-26.502628369307544,4
3,8,56,2,12,47,0.734375,-1.9918154999744502,7
4,16,112,4,29,88,0.6875,-0.008407883006867678,1
5,32,224,4,59,170,0.6640625,-46.57050497612596,8
6,64,448,8,128,329,0.642578125,-12.032085441416712,1
7,128,896,8,260,645,0.6298828125,-20.384489875268784,95
8,256,1792,24,552,1265,0.61767578125,-1.4535227511733524,160
