depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,154,1894,-241648.38451006
11,2048,155,1893,-241516.77341385
11,2048,156,1892,-241385.17235737
11,2048,157,1891,-241253.58128175
11,2048,158,1890,-241122.00012885
11,2048,159,1889,-240990.42884128
11,2048,160,1888,-240858.86736239
11,2048,161,1887,-240727.31563622
11,2048,162,1886,-240595.77360752
11,2048,163,1885,-240464.24122171
11,2048,164,1884,-240332.71842491
11,2048,165,1883,-240201.20516387
11,2048,166,1882,-240069.70138602
11,2048,167,1881,-239938.20703940
11,2048,168,1880,-239806.72207269
11,2048,169,1879,-239675.24643518
11,2048,170,1878,-239543.78007676
11,2048,171,1877,-239412.32294793
11,2048,172,1876,-239280.87499975
11,2048,173,1875,-239149.43618386
11,2048,174,1874,-239018.00645248
11,2048,175,1873,-238886.58575835
11,2048,176,1872,-238755.17405479
11,2048,177,1871,-238623.77129562
11,2048,178,1870,-238492.37743521
11,2048,179,1869,-238360.99242843
11,2048,180,1868,-238229.61623067
11,2048,181,1867,-238098.24879782
11,2048,182,1866,-237966.89008625
11,2048,183,1865,-237835.54005281
11,2048,184,1864,-237704.19865485
11,2048,185,1863,-237572.86585017
11,2048,186,1862,-237441.54159702
11,2048,187,1861,-237310.22585412
11,2048,188,1860,-237178.91858064
11,2048,189,1859,-237047.61973615
11,2048,190,1858,-236916.32928071
11,2048,191,1857,-236785.04717475
11,2048,192,1856,-236653.77337915
11,2048,193,1855,-236522.50785519
11,2048,194,1854,-236391.25056456
11,2048,195,1853,-236260.00146935
11,2048,196,1852,-236128.76053203
11,2048,197,1851,-235997.52771546
11,2048,198,1850,-235866.30298290
11,2048,199,1849,-235735.08629797
11,2048,200,1848,-235603.87762465
11,2048,201,1847,-235472.67692730
11,2048,202,1846,-235341.48417063
11,2048,203,1845,-235210.29931971
11,2048,204,1844,-235079.12233995
11,2048,205,1843,-234947.95319711
11,2048,206,1842,-234816.79185728
11,2048,207,1841,-234685.63828689
11,2048,208,1840,-234554.49245270
11,2048,209,1839,-234423.35432178
11,2048,210,1838,-234292.22386153
11,2048,211,1837,-234161.10103967
11,2048,212,1836,-234029.98582421
11,2048,213,1835,-233898.87818349
11,2048,214,1834,-233767.77808613
11,2048,215,1833,-233636.68550106
11,2048,216,1832,-233505.60039749
11,2048,217,1831,-233374.52274493
11,2048,218,1830,-233243.45251318
11,2048,219,1829,-233112.38967231
11,2048,220,1828,-232981.33419266
11,2048,221,1827,-232850.28604486
11,2048,222,1826,-232719.24519981
11,2048,223,1825,-232588.21162866
11,2048,224,1824,-232457.18530284
11,2048,225,1823,-232326.16619401
11,2048,226,1822,-232195.15427413
11,2048,227,1821,-232064.14951537
11,2048,228,1820,-231933.15189018
11,2048,229,1819,-231802.16137123
11,2048,230,1818,-231671.17793146
11,2048,231,1817,-231540.20154401
11,2048,232,1816,-231409.23218230
11,2048,233,1815,-231278.26981996
11,2048,234,1814,-231147.31443085
11,2048,235,1813,-231016.36598905
11,2048,236,1812,-230885.42446889
11,2048,237,1811,-230754.48984490
11,2048,238,1810,-230623.56209184
11,2048,239,1809,-230492.64118466
11,2048,240,1808,-230361.72709856
11,2048,241,1807,-230230.81980894
11,2048,242,1806,-230099.91929138
11,2048,243,1805,-229969.02552171
11,2048,244,1804,-229838.13847593
11,2048,245,1803,-229707.25813024
11,2048,246,1802,-229576.38446107
11,2048,247,1801,-229445.51744500
11,2048,248,1800,-229314.65705885
11,2048,249,1799,-229183.80327959
11,2048,250,1798,-229052.95608440
11,2048,251,1797,-228922.11545065
11,2048,252,1796,-228791.28135588
11,2048,253,1795,-228660.45377782
11,2048,254,1794,-228529.63269438
11,2048,255,1793,-228398.81808364
11,2048,256,1792,-228268.00992387
11,2048,257,1791,-228137.20819349
11,2048,258,1790,-228006.41287113
11,2048,259,1789,-227875.62393554
11,2048,260,1788,-227744.84136568
11,2048,261,1787,-227614.06514066
11,2048,262,1786,-227483.29523974
11,2048,263,1785,-227352.53164237
11,2048,264,1784,-227221.77432813
11,2048,265,1783,-227091.02327678
11,2048,266,1782,-226960.27846822
11,2048,267,1781,-226829.53988253
11,2048,268,1780,-226698.80749992
11,2048,269,1779,-226568.08130076
11,2048,270,1778,-226437.36126556
11,2048,271,1777,-226306.64737499
11,2048,272,1776,-226175.93960987
11,2048,273,1775,-226045.23795114
11,2048,274,1774,-225914.54237992
11,2048,275,1773,-225783.85287743
11,2048,276,1772,-225653.16942507
11,2048,277,1771,-225522.49200434
11,2048,278,1770,-225391.82059692
11,2048,279,1769,-225261.15518459
11,2048,280,1768,-225130.49574927
11,2048,281,1767,-224999.84227303
11,2048,282,1766,-224869.19473806
11,2048,283,1765,-224738.55312668
11,2048,284,1764,-224607.91742133
11,2048,285,1763,-224477.28760459
11,2048,286,1762,-224346.66365917
11,2048,287,1761,-224216.04556789
11,2048,288,1760,-224085.43331369
11,2048,289,1759,-223954.82687966
11,2048,290,1758,-223824.22624898
11,2048,291,1757,-223693.63140497
11,2048,292,1756,-223563.04233106
11,2048,293,1755,-223432.45901078
11,2048,294,1754,-223301.88142781
11,2048,295,1753,-223171.30956592
11,2048,296,1752,-223040.74340901
11,2048,297,1751,-222910.18294107
11,2048,298,1750,-222779.62814622
11,2048,299,1749,-222649.07900869
11,2048,300,1748,-222518.53551280
11,2048,301,1747,-222387.99764301
11,2048,302,1746,-222257.46538386
11,2048,303,1745,-222126.93872000
11,2048,304,1744,-221996.41763619
11,2048,305,1743,-221865.90211730
11,2048,306,1742,-221735.39214829
11,2048,307,1741,-221604.88771422
11,2048,308,1740,-221474.38880028
11,2048,309,1739,-221343.89539171
11,2048,310,1738,-221213.40747390
11,2048,311,1737,-221082.92503230
11,2048,312,1736,-220952.44805248
11,2048,313,1735,-220821.97652010
11,2048,314,1734,-220691.51042090
11,2048,315,1733,-220561.04974074
11,2048,316,1732,-220430.59446554
11,2048,317,1731,-220300.14458136
11,2048,318,1730,-220169.70007431
11,2048,319,1729,-220039.26093060
