rows,outputs,rows_subcube,outputs_subcube,matched_block_stride
8:9:10:11,2:6:10:12:14,1,0,0
8:9:10:11,2:6:10:13:14,1,0,0
8:9:10:11,2:6:10:14:15,1,0,0
8:9:10:11,3:4:7:11:15,1,0,0
8:9:10:11,3:5:7:11:15,1,0,0
8:9:10:11,3:6:7:11:15,1,0,0
8:9:10:11,3:7:8:11:15,1,0,0
8:9:10:11,3:7:9:11:15,1,0,0
8:9:10:11,3:7:10:11:15,1,0,0
8:9:10:11,3:7:11:12:15,1,0,0
8:9:10:11,3:7:11:13:15,1,0,0
8:9:10:11,3:7:11:14:15,1,0,0
12:13:14:15,0:1:4:8:12,1,0,0
12:13:14:15,0:1:5:9:13,1,0,0
12:13:14:15,0:2:4:8:12,1,0,0
12:13:14:15,0:2:6:10:14,1,0,0
12:13:14:15,0:3:4:8:12,1,0,0
12:13:14:15,0:3:7:11:15,1,0,0
12:13:14:15,0:4:5:8:12,1,0,0
12:13:14:15,0:4:6:8:12,1,0,0
12:13:14:15,0:4:7:8:12,1,0,0
12:13:14:15,0:4:8:9:12,1,0,0
12:13:14:15,0:4:8:10:12,1,0,0
12:13:14:15,0:4:8:11:12,1,0,0
12:13:14:15,0:4:8:12:13,1,0,0
12:13:14:15,0:4:8:12:14,1,0,0
12:13:14:15,0:4:8:12:15,1,0,0
12:13:14:15,1:2:5:9:13,1,0,0
12:13:14:15,1:2:6:10:14,1,0,0
12:13:14:15,1:3:5:9:13,1,0,0
12:13:14:15,1:3:7:11:15,1,0,0
12:13:14:15,1:4:5:9:13,1,0,0
12:13:14:15,1:5:6:9:13,1,0,0
12:13:14:15,1:5:7:9:13,1,0,0
12:13:14:15,1:5:8:9:13,1,0,0
12:13:14:15,1:5:9:10:13,1,0,0
12:13:14:15,1:5:9:11:13,1,0,0
12:13:14:15,1:5:9:12:13,1,0,0
12:13:14:15,1:5:9:13:14,1,0,0
12:13:14:15,1:5:9:13:15,1,0,0
12:13:14:15,2:3:6:10:14,1,0,0
12:13:14:15,2:3:7:11:15,1,0,0
12:13:14:15,2:4:6:10:14,1,0,0
12:13:14:15,2:5:6:10:14,1,0,0
12:13:14:15,2:6:7:10:14,1,0,0
12:13:14:15,2:6:8:10:14,1,0,0
12:13:14:15,2:6:9:10:14,1,0,0
12:13:14:15,2:6:10:11:14,1,0,0
12:13:14:15,2:6:10:12:14,1,0,0
12:13:14:15,2:6:10:13:14,1,0,0
12:13:14:15,2:6:10:14:15,1,0,0
12:13:14:15,3:4:7:11:15,1,0,0
12:13:14:15,3:5:7:11:15,1,0,0
12:13:14:15,3:6:7:11:15,1,0,0
12:13:14:15,3:7:8:11:15,1,0,0
12:13:14:15,3:7:9:11:15,1,0,0
12:13:14:15,3:7:10:11:15,1,0,0
12:13:14:15,3:7:11:12:15,1,0,0
12:13:14:15,3:7:11:13:15,1,0,0
12:13:14:15,3:7:11:14:15,1,0,0
