rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
3,1,2,3,3,3,2,1,8,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
3,1,2,4,3,1,3,0,2,4.298027689927475,4.298027689927475,4.298027689927475,4.327827245512558,4.327827245512558,0.2980276899274754,0.2980276899274754,2:4088;3:8
3,2,2,3,2,1,2,1,1,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
3,2,2,3,3,3,2,1,3,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
3,2,2,4,3,2,3,0,1,4.477472908597564,4.477472908597564,4.477472908597564,4.597527193372695,4.597527193372695,0.47747290859756397,0.47747290859756397,2:4032;3:64
3,3,2,2,2,2,2,1,3,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,0.13724312264813276,0.13724312264813276,2:64
3,3,2,3,2,2,2,1,6,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
3,3,2,4,3,3,3,0,3,5.25579697324096,5.25579697324096,5.25579697324096,5.343107806620333,5.343107806620333,1.25579697324096,1.25579697324096,2:3584;3:512
4,4,2,2,2,2,2,2,84,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,0.13724312264813276,0.13724312264813276,2:64
4,4,2,3,3,3,3,1,56,5.25579697324096,5.25579697324096,5.25579697324096,5.283582028628294,5.283582028628294,2.25579697324096,2.25579697324096,3:512
4,4,2,4,4,4,4,0,14,8.320910682430275,8.320910682430275,8.320910682430275,8.362585727754215,8.362585727754215,4.320910682430275,4.320910682430275,4:4096
