subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
22,1:2:4,7,1:2:4,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
23,1:2:5,4,5,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
23,1:2:5,3,1:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
23,1:2:5,7,1:2:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
24,1:2:6,4,6,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
24,1:2:6,3,1:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
24,1:2:6,7,1:2:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
25,1:2:7,4,7,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
25,1:2:7,3,1:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
25,1:2:7,7,1:2:7,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
26,1:3:4,3,1:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
26,1:3:4,5,1:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
26,1:3:4,6,3:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
26,1:3:4,7,1:3:4,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
27,1:3:5,3,1:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
27,1:3:5,5,1:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
27,1:3:5,6,3:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
27,1:3:5,7,1:3:5,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
28,1:3:6,3,1:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
28,1:3:6,5,1:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
28,1:3:6,6,3:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
28,1:3:6,7,1:3:6,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
29,1:3:7,3,1:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
29,1:3:7,5,1:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
29,1:3:7,6,3:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
29,1:3:7,7,1:3:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
30,1:4:5,1,1,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
30,1:4:5,6,4:5,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
30,1:4:5,7,1:4:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
31,1:4:6,1,1,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
31,1:4:6,6,4:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
31,1:4:6,7,1:4:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
32,1:4:7,3,1:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
32,1:4:7,5,1:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
32,1:4:7,6,4:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
32,1:4:7,7,1:4:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
33,1:5:6,1,1,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
33,1:5:6,6,5:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
33,1:5:6,7,1:5:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
34,1:5:7,3,1:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
34,1:5:7,5,1:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
34,1:5:7,6,5:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
34,1:5:7,7,1:5:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
35,1:6:7,3,1:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
35,1:6:7,5,1:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
35,1:6:7,6,6:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
35,1:6:7,7,1:6:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
36,2:3:4,3,2:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
36,2:3:4,5,2:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
36,2:3:4,6,3:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
36,2:3:4,7,2:3:4,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
37,2:3:5,3,2:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
37,2:3:5,5,2:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
37,2:3:5,6,3:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
37,2:3:5,7,2:3:5,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
38,2:3:6,3,2:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
38,2:3:6,5,2:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
38,2:3:6,6,3:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
38,2:3:6,7,2:3:6,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
39,2:3:7,3,2:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
