rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
4,1,2,3,3,3,2,2,1,-inf,3,3,0,20,1.0092454329104992,1.0092454329104992,1.0092454329104992,1.0092454329104992,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,1:32736;2:32
4,1,2,4,4,4,3,1,2,4,6,6,2,10,4.044560550003203,4.044560550003203,4.044560550003203,4.045666749533665,4.045666749533665,0.04456055000320269,0.04456055000320269,2:1048544;3:32
