rho,components,predicted_codim,shapes,min_codim,avg_codim,max_codim
2,1,3,2,2.5331189337105364,2.5331189337105364,2.5331189337105364
3,1,5,2,3.599156506458522,3.599156506458522,3.599156506458522
3,2,4,7,3.440900399543036,3.440900399543036,3.440900399543036
3,3,3,4,2.7233443974975007,2.7233443974975007,2.7233443974975007
4,4,4,5,3.631125863330002,3.631125863330002,3.631125863330002
