ensemble,mode,cutoff,cumulative_expected_count
original,support_equal_root,20,15.858146113011314
original,support_equal_root,21,25.005637777264067
original,support_equal_root,22,37.73545038895743
original,support_equal_root,23,54.38039521126533
original,support_equal_root,24,76.62280798033001
original,support_equal_root,25,104.81468189911273
original,support_equal_root,26,142.06233791524386
original,support_equal_root,27,188.48860706263065
original,support_equal_root,28,250.6635365858268
original,support_equal_root,29,328.6432268131672
original,support_equal_root,30,436.8906180883579
original,support_equal_root,31,578.7521105015936
original,support_equal_root,32,780.3616634665614
original,support_equal_root,33,1056.3330688340195
original,support_equal_root,34,1453.258393513485
original,support_equal_root,35,2007.1673010698817
original,support_equal_root,36,2814.5408975822406
original,support_equal_root,37,3982.9698827964758
original,support_equal_root,38,5734.679324472176
original,support_equal_root,39,8355.139780870342
original,support_equal_root,40,12311.452290204896
original,support_equal_root,41,18171.66819595412
original,support_equal_root,42,26698.077861744656
original,support_equal_root,43,38705.320068747846
original,support_equal_root,44,55109.866905199524
original,support_equal_root,45,76671.52794325624
original,support_equal_root,46,104000.58553700431
original,support_equal_root,47,137072.81564925663
original,support_equal_root,48,175157.3234195068
original,support_equal_root,49,216267.99551835773
original,support_equal_root,50,257660.86261133777
original,support_equal_root,51,295892.6721241951
original,support_equal_root,52,328247.6593640014
original,support_equal_root,53,352873.9181839431
original,support_equal_root,54,369869.66497415653
original,support_equal_root,55,380240.4703689792
original,support_equal_root,56,385992.1647546553
original,support_equal_root,57,388734.88250611234
original,support_equal_root,58,389961.5862565471
original,support_equal_root,59,390396.0912305242
original,support_equal_root,60,390564.4486018201
original,support_equal_root,61,390600.3328454466
original,support_equal_root,62,390616.5402144909
original,support_equal_root,63,390617.53034209926
original,support_equal_root,64,390623.99999999895
original,support_single_double,0,0.0
original,support_single_double,1,0.0
original,support_single_double,2,0.0
original,support_single_double,3,0.0
original,support_single_double,4,0.0
original,support_single_double,5,0.0
original,support_single_double,6,0.0
original,support_single_double,7,0.0
original,support_single_double,8,0.0
original,support_single_double,9,0.0
original,support_single_double,10,0.00039077758789062505
original,support_single_double,11,0.004985313415527344
original,support_single_double,12,0.030675945281982427
original,support_single_double,13,0.12259137272834779
original,support_single_double,14,0.3632245728373528
original,support_single_double,15,0.8681887648999692
original,support_single_double,16,1.7852063645236194
original,support_single_double,17,3.3238673268584527
original,support_single_double,18,5.858992706445279
original,support_single_double,19,10.383721795730235
original,support_single_double,20,276.37307855356664
original,support_single_double,21,303.1402803657876
original,support_single_double,22,375.8781249079264
original,support_single_double,23,552.2036500311688
original,support_single_double,24,1014.3989731886808
original,support_single_double,25,1667.6189729740179
original,support_single_double,26,2688.7942214516415
original,support_single_double,27,4126.406118794169
original,support_single_double,28,5999.411420720941
original,support_single_double,29,8311.449673294419
original,support_single_double,30,11096.11019687881
original,support_single_double,31,14419.103840794118
original,support_single_double,32,18570.711594524226
original,support_single_double,33,24062.521981665202
original,support_single_double,34,31597.298090042
original,support_single_double,35,41921.757633896894
original,support_single_double,36,55662.4382437824
original,support_single_double,37,73226.82612798408
original,support_single_double,38,95035.06526128463
original,support_single_double,39,120482.15238136057
original,support_single_double,40,149404.76998029056
original,support_single_double,41,180954.83813895338
original,support_single_double,42,213832.99332797088
original,support_single_double,43,246436.93740035096
original,support_single_double,44,277146.835171994
original,support_single_double,45,304618.3633035911
original,support_single_double,46,327970.1937473818
original,support_single_double,47,346836.3686082494
original,support_single_double,48,361316.97940954997
original,support_single_double,49,371869.12072140194
original,support_single_double,50,379166.7814347136
original,support_single_double,51,383956.83981683606
original,support_single_double,52,386940.97468974814
original,support_single_double,53,388703.45696560555
original,support_single_double,54,389686.5901470756
original,support_single_double,55,390200.5789689534
original,support_single_double,56,390449.47444537363
original,support_single_double,57,390559.40262515825
original,support_single_double,58,390602.8980196388
original,support_single_double,59,390618.02213690674
original,support_single_double,60,390622.5574912321
original,support_single_double,61,390623.71081078454
original,support_single_double,62,390623.9550983921
original,support_single_double,63,390623.9958284171
original,support_single_double,64,390624.00000000146
original,full,0,0.0
original,full,1,0.0
original,full,2,0.0
original,full,3,0.0
original,full,4,0.0
original,full,5,0.0
original,full,6,0.0
original,full,7,0.0
original,full,8,0.0
original,full,9,0.0
original,full,10,0.000234527587890625
original,full,11,0.0028759193420410155
original,full,12,0.017062015533447265
original,full,13,0.0664289391040802
original,full,14,0.19545372873544692
original,full,15,0.4760018114745617
original,full,16,1.0226353718154133
original,full,17,2.018531346055678
original,full,18,3.7383585670043264
original,full,19,6.5479748596772
original,full,20,10.947222531629448
original,full,21,17.194228529985768
original,full,22,25.980956024827453
original,full,23,37.40074770595184
original,full,24,52.803972454570086
original,full,25,72.08336935975044
original,full,26,97.72574298159418
original,full,27,129.0012875176095
original,full,28,171.208009332637
